10,693614,93503926,2048517
20,207738,75176301,287928
30,205089,67148776,174946
40,220125,67599588,150793
50,205717,67235577,144316
60,208542,67355572,155781
70,229166,67760055,150699
80,209724,66834109,140301
90,207754,67044372,145320
100,204778,66932454,139284
110,217078,67582611,146758
120,209517,67045829,151695
130,209385,67541514,144983
140,206445,66792648,159745
150,217058,67670569,144904
160,205648,66854519,142708
170,209187,67752209,147114
180,210529,67635240,149122
190,215707,67659542,146866
200,209238,67492771,152885
210,209776,67886486,147319
220,216217,67220676,146194
230,213854,66981857,145254
240,221014,68062820,146702
250,210082,67476103,144791
260,209858,67819842,144238
270,209018,70138388,148440
280,203552,67379000,140095
290,214032,67508330,145737
300,206726,68203974,139516
310,219087,67727616,152540
320,207283,67374127,139606
330,207748,66923516,144489
340,213134,67399555,144676
350,209143,66632966,149035
360,213271,68415906,158158
370,212264,67479514,145816
380,208308,67369790,142615
390,228434,67526401,154180
400,222550,67999670,146138
410,215092,67084797,142638
420,207218,67781117,149703
430,218500,67960020,144866
440,209349,67610949,143152
450,205241,67520348,141949
460,210449,67914563,142316
470,206841,67488677,151783
480,215921,67521159,150513
490,211683,67960791,149173
500,211177,68169076,138870
510,204957,67713377,140103
520,206543,67976984,142095
530,212580,67969048,152738
540,219471,68086315,150501
550,213632,67572374,143982
560,211320,68008727,160402
570,211665,67512067,142296
580,207304,67342227,145072
590,211412,68109628,141717
600,222418,67673835,153606
610,207848,67855199,141050
620,216935,67234503,150977
630,209471,68192847,144201
640,214565,66674228,144408
650,206696,68086222,148284
660,212122,67565366,143642
670,212807,67796408,147725
680,209454,67094656,140050
690,207243,68011148,144155
700,207410,67838959,142294
710,218730,69713037,146038
720,205870,67600453,147960
730,206202,67394406,139980
740,209089,67144213,143219
750,205561,67348978,143148
760,208537,67844871,176787
770,219578,67903700,145315
780,212355,67566950,144963
790,209056,67702938,145217
800,214292,67790963,147090
810,223508,67612571,159584
820,228692,68010406,149057
830,217599,67808672,149790
840,211603,67084854,143374
850,215255,68369151,146101
860,209567,67119752,137862
870,206773,67520506,140193
880,210994,68223194,149919
890,227973,67888256,152428
900,204301,67255799,139876
910,216756,67199222,144397
920,204196,67319740,140526
930,212232,68810974,142423
940,208108,67385745,143478
950,207819,67572403,142929
960,216239,67737820,140047
970,210024,67816980,141714
980,220910,68036952,143174
990,209349,67524740,147192
